Name,Type,Elixir Cost,Role,Counters
Archer Queen,Champion,5.0,Champion - Long-Range Burst DPS,"[""Spell pressure (Fireball/Lightning)"", ""Assassins or Miner on top"", ""Reset/disable ability timing""]"
Golden Knight,Champion,4.0,Champion - Dash DPS,"[""Cheap swarms to stop dash lanes"", ""Reset/knockback effects"", ""Kite into defending buildings""]"
Mighty Miner,Champion,4.0,Champion - Melee Tank Drill,"[""Air units or swarms"", ""Reset effects (Lightning/Fisherman)"", ""Pull with buildings or Tombstone""]"
Monk,Champion,5.0,Champion - Defensive Reflection,"[""Wait out reflection window"", ""High DPS ground units"", ""Opposite-lane pressure""]"
Skeleton King,Champion,4.0,Champion - Swarm Amplifier,"[""Spell deny (Poison/Fireball)"", ""Eliminate soul generators quickly"", ""Bridge pressure to split resources""]"
Archers,Troop,3.0,Support / Utility,"[""Trade efficiently"", ""Spell chip when clumped"", ""Opposite lane pressure""]"
Baby Dragon,Troop,4.0,Splash Control,"[""Snipe with ranged units"", ""Lightning/Fireball"", ""Spread deployments""]"
Balloon,Troop,5.0,Win Condition - Building Targeting (Air),"[""Air-targeting buildings (Tesla/Inferno)"", ""Long-range air DPS (Musketeer/Archers)"", ""Swarm or stun to delay hits""]"
Bandit,Troop,3.0,Melee DPS / Assassin,"[""Swarm distractions"", ""Air units out of reach"", ""Control placement (tornado/kiting)""]"
Barbarians,Troop,5.0,Swarm Cycle Unit,"[""Small spells (Log/Arrows)"", ""Splash damage troops"", ""Force quick cycling""]"
Bats,Troop,2.0,Swarm Cycle Unit,"[""Small spells (Log/Arrows)"", ""Splash damage troops"", ""Force quick cycling""]"
Battle Healer,Troop,4.0,Support / Healer,"[""Burst damage to delete support"", ""Crowd control (stuns/knockback)"", ""Separate from tanks before engaging""]"
Battle Ram,Troop,4.0,Win Condition - Building Targeting (Ground),"[""Pull with defensive buildings"", ""High single-target DPS (Mini P.E.K.K.A/Infern0)"", ""Cheap swarms for distraction""]"
Bomber,Troop,2.0,Splash Control,"[""Snipe with ranged units"", ""Lightning/Fireball"", ""Spread deployments""]"
Bowler,Troop,5.0,Splash Control,"[""Snipe with ranged units"", ""Lightning/Fireball"", ""Spread deployments""]"
Cannon Cart,Troop,5.0,Support / Utility,"[""Trade efficiently"", ""Spell chip when clumped"", ""Opposite lane pressure""]"
Dark Prince,Troop,4.0,Splash Control,"[""Snipe with ranged units"", ""Lightning/Fireball"", ""Spread deployments""]"
Dart Goblin,Troop,3.0,Ranged Support / Anti-Air,"[""Spell value (Fireball/Poison)"", ""Assassins (Miner/Bandit)"", ""Split-lane pressure""]"
Electro Dragon,Troop,5.0,Splash Control,"[""Snipe with ranged units"", ""Lightning/Fireball"", ""Spread deployments""]"
Electro Giant,Troop,7.0,Win Condition - Building Targeting (Ground),"[""Pull with defensive buildings"", ""High single-target DPS (Mini P.E.K.K.A/Infern0)"", ""Cheap swarms for distraction""]"
Electro Spirit,Troop,1.0,Support / Utility,"[""Trade efficiently"", ""Spell chip when clumped"", ""Opposite lane pressure""]"
Electro Wizard,Troop,4.0,Splash Control,"[""Snipe with ranged units"", ""Lightning/Fireball"", ""Spread deployments""]"
Elite Barbarians,Troop,6.0,Melee DPS / Assassin,"[""Swarm distractions"", ""Air units out of reach"", ""Control placement (tornado/kiting)""]"
Elixir Golem,Troop,3.0,Win Condition - Building Targeting (Ground),"[""Pull with defensive buildings"", ""High single-target DPS (Mini P.E.K.K.A/Infern0)"", ""Cheap swarms for distraction""]"
Executioner,Troop,5.0,Splash Control,"[""Snipe with ranged units"", ""Lightning/Fireball"", ""Spread deployments""]"
Fire Spirit,Troop,1.0,Melee DPS / Assassin,"[""Swarm distractions"", ""Air units out of reach"", ""Control placement (tornado/kiting)""]"
Firecracker,Troop,3.0,Ranged Support / Anti-Air,"[""Spell value (Fireball/Poison)"", ""Assassins (Miner/Bandit)"", ""Split-lane pressure""]"
Fisherman,Troop,3.0,Support / Utility,"[""Trade efficiently"", ""Spell chip when clumped"", ""Opposite lane pressure""]"
Flying Machine,Troop,4.0,Ranged Support / Anti-Air,"[""Spell value (Fireball/Poison)"", ""Assassins (Miner/Bandit)"", ""Split-lane pressure""]"
Giant Skeleton,Troop,6.0,Melee Tank / Bridge Pressure,"[""Kiting buildings"", ""High DPS melee (Mini P.E.K.K.A)"", ""Air units or swarms""]"
Goblin Gang,Troop,3.0,Melee DPS / Assassin,"[""Swarm distractions"", ""Air units out of reach"", ""Control placement (tornado/kiting)""]"
