Name,Type,Role,Counters
Knight,Troop,Melee Tank / DPS,Inferno Tower/Dragon; High DPS; Kite with buildings; Air units; Kiting; Crowd control
Archers,Troop,Ranged Support / Anti-Air,Musketeer; Tesla; Electro Dragon; Archers; Swarm; Fireball; Bridge pressure
Goblins,Troop,Swarm / Quick DPS,Valkyrie; Wizard; Arrows; Bomber
Giant,Troop,Tank / Win Condition,"Inferno Tower/Dragon; Mini P.E.K.K.A / P.E.K.K.A; Buildings (Tombstone, Cannon); Swarm distractions"
P.E.K.K.A,Troop,Heavy Tank Killer,Inferno Tower/Dragon; High DPS; Kite with buildings
Minions,Troop,Melee Tank / DPS,Inferno Tower/Dragon; High DPS; Kite with buildings; Air units; Kiting; Crowd control
Balloon,Troop,Win Condition (Air Tower Damage),"Inferno Tower/Dragon; Mini P.E.K.K.A / P.E.K.K.A; Buildings (Tombstone, Cannon); Swarm distractions; Musketeer; Tesla; Electro Dragon; Archers"
Witch,Troop,Splash Support + Summoner,Snipe with ranged units; Fireball/Lightning; Air units out of reach
Barbarians,Troop,Swarm / Defensive Counter,Valkyrie; Wizard; Arrows; Bomber; Lightning; Rocket; Tank to soak hits
Golem,Troop,Tank / Win Condition,"Inferno Tower/Dragon; Mini P.E.K.K.A / P.E.K.K.A; Buildings (Tombstone, Cannon); Swarm distractions"
Skeletons,Troop,Swarm / Defensive Counter,Valkyrie; Wizard; Arrows; Bomber; Lightning; Rocket; Tank to soak hits
Valkyrie,Troop,Splash Melee / Ground Control,Snipe with ranged units; Fireball/Lightning; Air units out of reach; Air units; Kiting; Crowd control
Skeleton Army,Troop,Swarm / Defensive Counter,Valkyrie; Wizard; Arrows; Bomber; Lightning; Rocket; Tank to soak hits
Bomber,Troop,Support / Versatile,General elixir efficiency and placement tactics
Musketeer,Troop,Long-Range Support / Anti-Air,Musketeer; Tesla; Electro Dragon; Archers
Baby Dragon,Troop,Splash Ranged Support,Snipe with ranged units; Fireball/Lightning; Air units out of reach
Prince,Troop,Melee Tank / DPS,Inferno Tower/Dragon; High DPS; Kite with buildings; Air units; Kiting; Crowd control
Wizard,Troop,Splash Ranged Support,Snipe with ranged units; Fireball/Lightning; Air units out of reach
Mini P.E.K.K.A,Troop,Single-Target DPS / Tank Killer,Inferno Tower/Dragon; High DPS; Kite with buildings
Spear Goblins,Troop,Swarm / Defensive Counter,Valkyrie; Wizard; Arrows; Bomber; Lightning; Rocket; Tank to soak hits
Giant Skeleton,Troop,Tank / Win Condition,"Inferno Tower/Dragon; Mini P.E.K.K.A / P.E.K.K.A; Buildings (Tombstone, Cannon); Swarm distractions"
Hog Rider,Troop,Win Condition (Fast Building-Targeting),"Inferno Tower/Dragon; Mini P.E.K.K.A / P.E.K.K.A; Buildings (Tombstone, Cannon); Swarm distractions"
Minion Horde,Troop,Melee Tank / DPS,Inferno Tower/Dragon; High DPS; Kite with buildings; Air units; Kiting; Crowd control
